vehicle No.,Time,state
1,11,1,n11
1,4,2,n4
1,2,4,n2
1,3,4,n3
1,5,5,n5
1,1,6,n1
1,4,6,n4
1,6,6,n6
1,3,7,n3
1,4,7,n4
1,5,7,n5
1,2,8,n2
1,3,8,n3
1,6,8,n6
1,1,9,n1
1,2,9,n2
1,3,9,n3
1,4,9,n4
1,5,9,n5
1,1,10,n1
1,4,10,n4
1,5,10,n5
1,6,10,n6
1,1,11,n1
1,2,11,n2
1,3,11,n3
1,4,11,n4
1,5,11,n5
1,6,11,n6
1,2,12,n2
1,3,12,n3
1,4,12,n4
1,5,12,n5
1,6,12,n6
1,1,13,n1
1,2,13,n2
1,3,13,n3
1,4,13,n4
1,5,13,n5
1,6,13,n6
1,1,14,n1
1,2,14,n2
1,3,14,n3
1,4,14,n4
1,5,14,n5
1,6,14,n6
1,1,15,n1
1,2,15,n2
1,3,15,n3
1,4,15,n4
1,5,15,n5
1,6,15,n6
1,7,15,n7_1[1]
1,1,16,n1
1,2,16,n2_1[1]
1,2,16,n2
1,3,16,n3
1,4,16,n4
1,5,16,n5
1,6,16,n6
1,7,16,n7_1[1]
1,1,17,n1
1,2,17,n2
1,2,17,n2_1[1]
1,3,17,n3
1,4,17,n4
1,5,17,n5_1[1]
1,5,17,n5
1,6,17,n6
1,7,17,n7_1[1]
1,1,18,n1_1[1]
1,1,18,n1
1,2,18,n2
1,2,18,n2_1[1]
1,3,18,n3
1,4,18,n4_1[1]
1,4,18,n4
1,5,18,n5
1,5,18,n5_1[1]
1,6,18,n6_1[1]
1,6,18,n6
1,7,18,n7_1[1]
1,1,19,n1
1,1,19,n1_1[1]
1,2,19,n2
1,2,19,n2_1[1]
1,3,19,n3_1[1]
1,3,19,n3
1,4,19,n4_1[1]
1,4,19,n4
1,5,19,n5_1[1]
1,5,19,n5
1,6,19,n6
1,6,19,n6_1[1]
1,1,20,n1
1,1,20,n1_1[1]
1,2,20,n2_1[1]
1,2,20,n2
1,3,20,n3_1[1]
1,3,20,n3
1,4,20,n4
1,4,20,n4_1[1]
1,5,20,n5
1,5,20,n5_1[1]
1,6,20,n6_1[1]
1,6,20,n6
1,1,21,n1_1[1]
1,1,21,n1
1,2,21,n2_1[1]
1,2,21,n2
1,3,21,n3_1[1]
1,3,21,n3
1,4,21,n4_1[1]
1,4,21,n4
1,5,21,n5_1[1]
1,5,21,n5
1,6,21,n6
1,6,21,n6_1[1]
1,1,22,n1_1[1]
1,1,22,n1
1,2,22,n2
1,2,22,n2_1[1]
1,3,22,n3
1,3,22,n3_1[1]
1,4,22,n4_1[1]
1,4,22,n4
1,5,22,n5_1[1]
1,5,22,n5
1,6,22,n6_1[1]
1,6,22,n6
1,8,22,n8_1[2]
1,1,23,n1_1[1]
1,1,23,n1
1,2,23,n2_1[1]
1,2,23,n2
1,3,23,n3_1[2]
1,3,23,n3_1[1]
1,3,23,n3
1,4,23,n4_1[1]
1,4,23,n4
1,5,23,n5_1[1]
1,5,23,n5
1,6,23,n6_1[1]
1,6,23,n6
1,8,23,n8_1[2]
1,1,24,n1
1,1,24,n1_1[1]
1,2,24,n2_1[1]
1,2,24,n2
1,3,24,n3_1[2]
1,3,24,n3_1[1]
1,3,24,n3
1,4,24,n4_1[1]
1,4,24,n4
1,5,24,n5_1[1]
1,5,24,n5
1,6,24,n6_1[1]
1,6,24,n6
1,1,25,n1_1[2]
1,1,25,n1_1[1]
1,1,25,n1
1,2,25,n2_1[1]
1,2,25,n2
1,3,25,n3_1[1]
1,3,25,n3
1,4,25,n4_1[2]
1,4,25,n4_1[1]
1,4,25,n4
1,5,25,n5_1[1]
1,5,25,n5
1,6,25,n6_1[1]
1,6,25,n6
1,1,26,n1_1[2]
1,1,26,n1_1[1]
1,1,26,n1
1,2,26,n2_1[1]
1,2,26,n2
1,3,26,n3_1[1]
1,3,26,n3
1,4,26,n4_1[2]
1,4,26,n4_1[1]
1,4,26,n4
1,5,26,n5_1[2]
1,5,26,n5_1[1]
1,5,26,n5
1,6,26,n6_1[1]
1,6,26,n6
1,1,27,n1_1[1]
1,1,27,n1
1,2,27,n2_1[2]
1,2,27,n2_1[1]
1,2,27,n2
1,3,27,n3_1[2]
1,3,27,n3_1[1]
1,3,27,n3
1,4,27,n4_1[1]
1,4,27,n4
1,5,27,n5_1[2]
1,5,27,n5_1[1]
1,5,27,n5
1,6,27,n6_1[2]
1,6,27,n6_1[1]
1,6,27,n6
1,1,28,n1_1[1]
1,1,28,n1
1,2,28,n2_1[2]
1,2,28,n2_1[1]
1,2,28,n2
1,3,28,n3_1[2]
1,3,28,n3_1[1]
1,3,28,n3
1,4,28,n4_1[2]
1,4,28,n4_1[1]
1,4,28,n4
1,5,28,n5_1[2]
1,5,28,n5_1[1]
1,5,28,n5
1,6,28,n6_1[2]
1,6,28,n6_1[1]
1,6,28,n6
1,1,29,n1_1[2]
1,1,29,n1_1[1]
1,1,29,n1
1,2,29,n2_1[1]
1,2,29,n2
1,3,29,n3_1[2]
1,3,29,n3_1[1]
1,3,29,n3
1,4,29,n4_1[2]
1,4,29,n4_1[1]
1,4,29,n4
1,5,29,n5_1[2]
1,5,29,n5_1[1]
1,5,29,n5
1,6,29,n6_1[2]
1,6,29,n6_1[1]
1,6,29,n6
1,1,30,n1_1[2]
1,1,30,n1_1[1]
1,1,30,n1
1,2,30,n2_1[2]
1,2,30,n2_1[1]
1,2,30,n2
1,3,30,n3_1[2]
1,3,30,n3_1[1]
1,3,30,n3
1,4,30,n4_1[2]
1,4,30,n4_1[1]
1,4,30,n4
1,5,30,n5_1[2]
1,5,30,n5_1[1]
1,5,30,n5
1,6,30,n6_1[2]
1,6,30,n6_1[1]
1,6,30,n6
1,1,31,n1_1[2]
1,1,31,n1_1[1]
1,1,31,n1
1,2,31,n2_1[2]
1,2,31,n2_1[1]
1,2,31,n2
1,3,31,n3_1[2]
1,3,31,n3_1[1]
1,3,31,n3
1,4,31,n4_1[2]
1,4,31,n4_1[1]
1,4,31,n4
1,5,31,n5_1[2]
1,5,31,n5_1[1]
1,5,31,n5
1,6,31,n6_1[2]
1,6,31,n6_1[1]
1,6,31,n6
1,1,32,n1_1[2]
1,1,32,n1_1[1]
1,1,32,n1
1,2,32,n2_1[2]
1,2,32,n2_1[1]
1,2,32,n2
1,3,32,n3_1[2]
1,3,32,n3_1[1]
1,3,32,n3
1,4,32,n4_1[2]
1,4,32,n4_1[1]
1,4,32,n4
1,5,32,n5_1[2]
1,5,32,n5_1[1]
1,5,32,n5
1,6,32,n6_1[2]
1,6,32,n6_1[1]
1,6,32,n6
1,1,33,n1_1[2]
1,1,33,n1_1[1]
1,1,33,n1
1,2,33,n2_1[2]
1,2,33,n2_1[1]
1,2,33,n2
1,3,33,n3_1[2]
1,3,33,n3_1[1]
1,3,33,n3
1,4,33,n4_1[2]
1,4,33,n4_1[1]
1,4,33,n4
1,5,33,n5_1[2]
1,5,33,n5_1[1]
1,5,33,n5
1,6,33,n6_1[2]
1,6,33,n6_1[1]
1,6,33,n6
1,1,34,n1_1[2]
1,1,34,n1_1[1]
1,1,34,n1
1,2,34,n2_1[2]
1,2,34,n2_1[1]
1,2,34,n2
1,3,34,n3_1[2]
1,3,34,n3_1[1]
1,3,34,n3
1,4,34,n4_1[2]
1,4,34,n4_1[1]
1,4,34,n4
1,5,34,n5_1[2]
1,5,34,n5_1[1]
1,5,34,n5
1,6,34,n6_1[2]
1,6,34,n6_1[1]
1,6,34,n6
1,1,35,n1_1[2]
1,1,35,n1_1[1]
1,1,35,n1
1,2,35,n2_1[2]
