agent_id,agent_type,from_node_id,to_node_id,departure_time_start,departure_time_window,arrival_time_start,arrival_time_window,capacity,base_profit,VOIVTT_per_hour,VOWT_per_hour
1,0,5018,4952,20,1,60,5,,100,,
2,0,5018,5034,20,1,60,5,,100,,
3,0,5736,11173,20,1,60,5,,100,,
4,0,5209,11173,25,1,65,5,,100,,
5,0,5211,11173,25,1,65,5,,100,,
6,0,5209,1357,25,1,65,5,,100,,
7,0,1357,1352,25,1,65,5,,100,,
8,0,11259,1355,30,1,60,5,,100,,
9,0,5174,11257,30,1,60,5,,100,,
10,0,1352,6255,30,1,60,5,,100,,
11,1,1285,1290,1,1,100,1,2,,22,0
12,1,5017,5030,1,1,100,1,2,,22,0
13,1,1318,5929,1,1,100,1,2,,22,0
14,1,1346,1323,1,1,100,1,2,,22,0
15,1,1316,1355,1,1,100,1,2,,22,0
16,1,5929,1355,1,1,100,1,2,,22,0
17,1,5356,1355,1,1,100,1,2,,22,0
18,1,5328,1323,1,1,100,1,2,,22,0
19,1,4899,8116,1,1,100,1,2,,22,0
20,1,5119,8116,1,1,100,1,2,,22,0
