iteration,stepSize,p1' profit,p2's profit,p3's profit,p4's profit,p5's profit,p6's profit,p7's profit,p8's profit,p9's profit,p10's profit,LowerBoundCost
0,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,64.500000,
1,1.000000,11.000000,11.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,75.800003,
2,0.500000,11.000000,16.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,78.599998,
3,0.333333,14.333334,16.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,80.800003,
4,0.250000,14.333334,18.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,81.933334,
5,0.200000,16.333334,18.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,83.300003,
6,0.166667,16.333334,20.166666,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,83.933334,
7,0.142857,17.761906,20.166666,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,84.966667,
8,0.125000,17.761906,21.416666,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,85.361908,
9,0.111111,18.873016,21.416666,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,86.216667,
