iteration,stepSize,p1' profit,p2's profit,p3's profit,p4's profit,p5's profit,p6's profit,p7's profit,p8's profit,p9's profit,p10's profit,LowerBoundCost
initialization, ,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,
1,1.000000,3.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,
2,0.500000,4.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.000000,
3,0.333333,4.666667,4.666667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,
4,0.250000,5.166667,5.166667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.333333,
5,0.200000,5.166667,5.566667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.166666,
6,0.166667,5.166667,5.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.566667,
7,0.142857,5.166667,6.185714,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.900000,
8,0.125000,5.166667,6.435714,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.185715,
9,0.111111,5.166667,6.657937,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.435715,
10,0.100000,5.166667,6.857936,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.657936,
11,0.100000,5.166667,7.057936,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.857937,
12,0.100000,5.166667,7.257936,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.057936,
13,0.100000,5.166667,7.457936,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.257936,
14,0.100000,5.166667,7.657936,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.457935,
