LR_iteration,Stepsize,path_node_seq,path_ime_sequence
0,1.000000,11;4;2;1;12;12;,1;2;4;6;7;120;,
1,1.000000,11;4;2;7;2;1;8;1;12;12;,1;2;4;5;6;8;9;10;11;120;,
2,0.500000,11;4;3;9;3;1;5;6;10;6;3;1;12;12;,1;2;4;5;6;8;9;10;11;12;13;15;16;120;,
3,0.333333,11;4;2;7;2;1;8;1;12;12;,1;2;4;5;6;8;9;10;11;120;,
4,0.250000,11;4;3;9;3;1;5;6;10;6;3;1;12;12;,1;2;4;5;6;8;9;10;11;12;13;15;16;120;,
5,0.200000,11;4;2;7;2;1;8;1;12;12;,1;2;4;5;6;8;9;10;11;120;,
6,0.166667,11;4;3;9;3;1;5;6;10;6;3;1;12;12;,1;2;4;5;6;8;9;10;11;12;13;15;16;120;,
7,0.142857,11;4;2;7;2;1;8;1;12;12;,1;2;4;5;6;8;9;10;11;120;,
8,0.125000,11;4;3;9;3;1;5;6;10;6;3;1;12;12;,1;2;4;5;6;8;9;10;11;12;13;15;16;120;,
9,0.111111,11;4;2;7;2;1;8;1;12;12;,1;2;4;5;6;8;9;10;11;120;,
Upperbound:, ,11;4;3;9;3;1;5;6;10;6;3;1;12;12;,1;2;4;5;6;8;9;10;11;12;13;15;16;120;,
