vehicle No.,Time,state
1,1,n11
1,2,n4
1,4,n2
1,4,n3
1,5,n5
1,5,n7_1[1]
1,6,n1
1,6,n4
1,6,n6
1,6,n2_1[1]
1,7,n5
1,7,n3
1,7,n4
1,7,n5_1[1]
1,8,n2
1,8,n3
1,8,n1_1[1]
1,8,n4_1[1]
1,8,n6
1,8,n6_1[1]
1,9,n8_1[2]
1,9,n1
1,9,n4
1,9,n2
1,9,n3
1,9,n5
1,9,n5_1[1]
1,9,n3_1[1]
1,9,n4_1[1]
1,10,n6_1[2]
1,10,n1
1,10,n4
1,10,n2_1[1]
1,10,n3_1[1]
1,10,n5
1,10,n6
1,10,n6_1[1]
1,11,n3_1[2]
1,11,n4_1[2]
1,11,n8_1[2]
1,11,n2
1,11,n3
1,11,n1
1,11,n4
1,11,n1_1[1]
1,11,n4_1[1]
1,11,n2_1[1]
1,11,n3_1[1]
1,11,n5
1,11,n5_1[1]
1,11,n6
1,12,n6_1[2]
1,12,n2
1,12,n3
1,12,n1_1[1]
1,12,n4_1[1]
1,12,n5
1,12,n5_1[1]
1,12,n6
1,12,n6_1[1]
1,12,n4
1,13,n1_1[2]
1,13,n4_1[2]
1,13,n2_1[2]
1,13,n3_1[2]
1,13,n1
1,13,n4
1,13,n2
1,13,n3
1,13,n2_1[1]
1,13,n3_1[1]
1,13,n1_1[1]
1,13,n4_1[1]
1,13,n5
1,13,n5_1[1]
1,13,n6
1,13,n6_1[1]
1,14,n5_1[2]
1,14,n1
1,14,n4
1,14,n2_1[1]
1,14,n3_1[1]
1,14,n2
1,14,n3
1,14,n5
1,14,n5_1[1]
1,14,n6
1,14,n6_1[1]
1,14,n4_1[1]
1,15,n2_1[2]
1,15,n3_1[2]
1,15,n1_1[2]
1,15,n4_1[2]
1,15,n6_1[2]
1,15,n2
1,15,n3
1,15,n1
1,15,n4
1,15,n1_1[1]
1,15,n4_1[1]
1,15,n2_1[1]
1,15,n3_1[1]
1,15,n5
1,15,n5_1[1]
1,15,n6
1,15,n6_1[1]
1,16,n9_1[2]_2[1]
1,16,n5_1[2]
1,16,n3_1[2]
1,16,n4_1[2]
1,16,n9_2[1]
1,16,n9_1[1]_2[1]
1,16,n2
1,16,n3
1,16,n1_1[1]
1,16,n4_1[1]
1,16,n1
1,16,n4
1,16,n2_1[1]
1,16,n3_1[1]
1,16,n5
1,16,n5_1[1]
1,16,n6
1,16,n6_1[1]
1,17,n5_1[2]_2[1]
1,17,n1_1[2]
1,17,n4_1[2]
1,17,n2_1[2]
1,17,n3_1[2]
1,17,n6_1[2]
1,17,n9_1[2]_2[1]
1,17,n5_2[1]
1,17,n5_1[1]_2[1]
1,17,n1
1,17,n4
1,17,n2
1,17,n3
1,17,n2_1[1]
1,17,n3_1[1]
1,17,n1_1[1]
1,17,n4_1[1]
1,17,n5
1,17,n5_1[1]
1,17,n6
1,17,n9_2[1]
1,17,n6_1[1]
1,17,n9_1[1]_2[1]
1,18,n6_1[2]_2[1]
1,18,n1_1[2]
1,18,n4_1[2]
1,18,n2_1[2]
1,18,n3_1[2]
1,18,n5_1[2]
1,18,n5_1[2]_2[1]
1,18,n6_2[1]
1,18,n6_1[1]_2[1]
1,18,n1
1,18,n4
1,18,n2_1[1]
1,18,n3_1[1]
1,18,n2
1,18,n3
1,18,n1_1[1]
1,18,n4_1[1]
1,18,n5
1,18,n5_1[1]
1,18,n6
1,18,n9_2[1]
1,18,n6_1[1]
1,18,n9_1[1]_2[1]
1,18,n5_2[1]
1,18,n5_1[1]_2[1]
1,19,n3_1[2]_2[1]
1,19,n4_1[2]_2[1]
1,19,n2_1[2]
1,19,n3_1[2]
1,19,n1_1[2]
1,19,n4_1[2]
1,19,n5_1[2]
1,19,n6_1[2]
1,19,n9_1[2]_2[1]
1,19,n6_1[2]_2[1]
1,19,n3_2[1]
1,19,n4_2[1]
1,19,n3_1[1]_2[1]
1,19,n4_1[1]_2[1]
1,19,n2
1,19,n3
1,19,n1
1,19,n4
1,19,n1_1[1]
1,19,n4_1[1]
1,19,n2_1[1]
1,19,n3_1[1]
1,19,n5
1,19,n5_1[1]
1,19,n6
1,19,n9_2[1]
1,19,n6_1[1]
1,19,n9_1[1]_2[1]
1,19,n5_2[1]
1,19,n5_1[1]_2[1]
1,19,n6_2[1]
1,19,n6_1[1]_2[1]
