name,link_id,from_node_id,to_node_id,link_type_name,direction,length_in_mile,number_of_lanes,speed_limit_in_mph,saturation_flow_rate_in_vhc_per_hour_per_lane,lane_capacity_in_vhc_per_hour,link_type,jam_density_in_vhc_pmpl,wave_speed_in_mph,effective_green_time_length_in_second,green_start_time_in_second,AADT_conversion_factor,mode_code,grade,geometry,KML_green_height,KML_red_height,KML_blue_height,KML_yellow_leightnumber_of_left_turn_bays,length_of_bays_in_feet,left_turn_capacity_in_veh_per_hour,from_approach,to_approach,reversed_link_id,h0_link_volume,h1_link_volume,h2_link_volume,h3_link_volume,h4_link_volume,h5_link_volume,h6_link_volume,h7_link_volume,h8_link_volume,h9_link_volume,h10_link_volume,h11_link_volume,h12_link_volume,h13_link_volume,h14_link_volume,h15_link_volume,h16_link_volume,h17_link_volume,h18_link_volume,h19_link_volume,h20_link_volume,h21_link_volume,h22_link_volume,h23_link_volume,h0_speed,h1_speed,h2_speed,h3_speed,h4_speed,h5_speed,h6_speed,h7_speed,h8_speed,h9_speed,h10_speed,h11_speed,h12_speed,h13_speed,h14_speed,h15_speed,h16_speed,h17_speed,h18_speed,h19_speed,h20_speed,h21_speed,h22_speed,h23_speed,h0_travel_time,h1_travel_time,h2_travel_time,h3_travel_time,h4_travel_time,h5_travel_time,h6_travel_time,h7_travel_time,h8_travel_time,h9_travel_time,h10_travel_time,h11_travel_time,h12_travel_time,h13_travel_time,h14_travel_time,h15_travel_time,h16_travel_time,h17_travel_time,h18_travel_time,h19_travel_time,h20_travel_time,h21_travel_time,h22_travel_time,h23_travel_time
7000 Sout,105,5440,11127,Highway/Expressway,1,0.238,2,50,1800,1450,2,120,12,0,0,0.1,,0,"<LineString><coordinates>-111.929195,40.624054,0.0 -111.924691,40.623684,0.0</coordinates></LineString>",0,0,0,0,0,0,0,E,W,111270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,671,364,0,0,0,0,0,0,48.33,50,50,50,50,50,50,50,50,50,50,50,50,50,50,49.86,49.66,49.85,50,50,50,50,25,0,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.57,14.28
7000 Sout,5441,5441,5861,Highway/Expressway,1,0.141,2,50,1800,1450,2,120,12,0,0,0.1,,0,"<LineString><coordinates>-111.917144,40.623193,0.0 -111.915232,40.621766,0.0</coordinates></LineString>",0,0,0,0,0,0,0,0,0,58610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,564,359,0,0,0,0,0,0,48.33,50,50,50,50,50,50,50,50,50,50,50,50,50,50,49.33,48.82,25.98,50,50,50,50,25,0,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.33,0.17,0.17,0.17,0.17,0.34,8.46
7000 Sout,107,5441,11126,Highway/Expressway,1,0.087,2,50,1800,1450,2,120,12,0,0,0.1,,0,"<LineString><coordinates>-111.917088,40.623304,0.0 -111.918618,40.623785,0.0</coordinates></LineString>",0,0,0,0,0,0,0,W,E,111260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,126,47,0,0,0,0,0,0,48.33,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,25,0,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.21,5.22
7000 Sout,5861,5861,5441,Highway/Expressway,1,0.141,2,50,1800,1450,2,120,12,0,0,0.1,,0,"<LineString><coordinates>-111.915157,40.621867,0.0 -111.917069,40.623295,0.0</coordinates></LineString>",0,0,0,0,0,0,0,0,0,54410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,173,96,0,0,0,0,0,0,48.33,50,50,50,50,50,50,50,50,50,50,50,50,50,50,49.8,49.78,49.89,50,50,50,50,25,0,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.34,8.46
7000 Sout,11126,11126,5441,Highway/Expressway,1,0.087,2,50,1800,1450,2,120,12,0,0,0.1,,0,"<LineString><coordinates>-111.918656,40.623664,0.0 -111.917126,40.623184,0.0</coordinates></LineString>",0,0,0,0,0,0,0,E,W,1070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,560,304,0,0,0,0,0,0,48.33,50,50,50,50,50,50,50,50,50,50,50,50,50,50,49.87,49.38,34.71,50,50,50,50,25,0,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.11,0.15,0.1,0.1,0.1,0.1,0.21,5.22
7000 Sout,163,11126,11127,Highway/Expressway,1,0.318,2,50,1800,1450,2,120,12,0,0,0.1,,0,"<LineString><coordinates>-111.918637,40.623787,0.0 -111.924686,40.623810,0.0</coordinates></LineString>",0,0,0,0,0,0,0,W,E,1640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,240,159,0,0,0,0,0,0,48.33,50,50,50,50,50,50,50,50,50,50,50,50,50,50,49.95,49.92,50,50,50,50,50,25,0,0.39,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.76,19.08
7000 Sout,11127,11127,5440,Highway/Expressway,1,0.238,2,50,1800,1450,2,120,12,0,0,0.1,,0,"<LineString><coordinates>-111.924681,40.623809,0.0 -111.929184,40.624180,0.0</coordinates></LineString>",0,0,0,0,0,0,0,W,E,1050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,236,125,0,0,0,0,0,0,48.33,50,50,50,50,50,50,50,50,50,50,50,50,50,50,49.94,48.29,49.95,50,50,50,50,25,0,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.3,0.29,0.29,0.29,0.29,0.29,0.57,14.28
7000 Sout,164,11127,11126,Highway/Expressway,1,0.318,2,50,1800,1450,2,120,12,0,0,0.1,,0,"<LineString><coordinates>-111.924686,40.623683,0.0 -111.918637,40.623661,0.0</coordinates></LineString>",0,0,0,0,0,0,0,E,W,1630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,671,382,0,0,0,0,0,0,48.33,50,50,50,50,50,50,50,50,50,50,50,50,50,50,49.88,49.53,44.89,50,50,50,50,25,0,0.39,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.39,0.43,0.38,0.38,0.38,0.38,0.76,19.08
9000 Sout,66,5117,11255,Highway/Expressway,1,0.123,3,50,1800,1450,2,120,12,0,0,0.1,,0,"<LineString><coordinates>-111.910222,40.587654,0.0 -111.907884,40.587750,0.0</coordinates></LineString>",0,0,0,0,0,0,0,E,W,112550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,613,1491,1160,0,0,0,0,0,0,48.33,50,50,50,50,50,50,50,50,50,50,50,50,50,50,49.49,35.34,34.24,50,50,50,50,25,0,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.21,0.22,0.15,0.15,0.15,0.15,0.3,7.38
9000 Sout,5118,5118,5727,Highway/Expressway,1,0.112,3,50,1800,1450,2,120,12,0,0,0.1,,0,"<LineString><coordinates>-111.904261,40.587951,0.0 -111.902133,40.587936,0.0</coordinates></LineString>",0,0,0,0,0,0,0,E,W,57270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411,968,785,2,0,0,0,0,0,48.33,50,50,50,50,50,50,50,50,50,50,50,50,50,50,49.14,49.15,48.92,50,50,50,50,25,0,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.27,6.72
